numero,ptgf_column,kx2f_column,nombre_ptgf,nombre_kx2f
24,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,SALDO CTA AHORRO> 3 SMMLV HASTA 5 SMMLV,(24) SALDO_CTAS_AHORR>3SMMLV_HASTA_ 5SMMLV
25,nroactivasca,_25_nro_ctas_ahorro_activas,NRO CTA AHORRO ACTIVAS,(25) NRO_CTAS_AHORRO_ACTIVAS
26,saldoactivasca,_26_saldo_ctas_ahorro_activas,SALDO CTA AHORRO ACTIVAS,(26) SALDO_CTAS_AHORRO_ACTIVAS
27,generonromca,_27_nro_ctas_ahorro_mujeres,NRO CTA AHORRO MUJERES,(27) NRO_CTAS_AHORRO_MUJERES
28,generosaldomca,_28_saldo_ctas_ahorro_mujeres,SALDO CTA AHORRO MUJERES,(28) SALDO_CTAS_AHORRO_MUJERES
29,generonrohca,_29_nro_ctas_ahorro_hombres,NRO CTA AHORRO HOMBRES,(29) NRO_CTAS_AHORRO_HOMBRES
30,generosaldohca,_30_saldo_ctas_ahorro_hombres,SALDO CTA AHORRO HOMBRES,(30) SALDO_CTAS_AHORRO_HOMBRES
31,totalnroca,_31_nro_ctas_ahorro,NRO TOTAL CTA AHORROS,(31) NRO_CTAS_AHORRO
32,totalsaldoca,_32_saldo_ctas_ahorro,SALDO TOTAL CTA AHORROS,(32) SALDO_CTAS_AHORRO
33,nroactivasche,,NRO CTA AHORRO ELECTRONICAS ACTIVAS,
34,saldoactivasche,,SALDO CTA AHORRO ELECTRONICAS ACTIVAS,
35,generonromche,,NRO CTA AHORRO ELECTRONICAS MUJERES,
36,generosaldomche,,SALDO CTA AHORRO ELECTRONICAS MUJERES,
37,generonrohche,,NRO CTA AHORRO ELECTRONICAS HOMBRES,
38,generosaldohche,,SALDO CTA AHORRO ELECTRONICAS HOMBRES,
39,totalnroche,,NRO TOTAL CTA AHORROS ELECTRONICAS,
40,totalsaldoche,,SALDO TOTAL CTA AHORROS ELECTRONICAS,
41,generonromcdc,_41_nro_cr_dito_consumo,NRO CREDITO CONSUMO MUJERES,(41) NRO_CRÉDITO_CONSUMO_MUJERES
42,generomontomcdc,_42_monto_cr_dito_consumo,MONTO CREDITO CONSUMO MUJERES,(42) MONTO_CRÉDITO_CONSUMO_MUJERES
43,generonrohcdc,_43_nro_cr_dito_consumo,NRO CREDITO CONSUMO HOMBRES,(43) NRO_CRÉDITO_CONSUMO_HOMBRES
44,generomontohcdc,_44_monto_cr_dito_consumo,MONTO CREDITO CONSUMO  HOMBRES,(44) MONTO_CRÉDITO_CONSUMO_HOMBRES
45,totalnrocdc,_45_nro_cr_dito_consumo,NRO TOTAL CREDITO CONSUMO,(45) NRO_CRÉDITO_CONSUMO
46,totalmontocdc,_46_monto_cr_dito_consumo,MONTO TOTAL CREDITO CONSUMO,(46) MONTO_CRÉDITO_CONSUMO
47,generonromcdcbm,_47_nro_cred_cons_bajo_monto,NRO CRED CONS BAJO MONTO MUJERES,(47) NRO_CRED_CONS_BAJO_MONTO_MUJERES
48,generomontomcdcbm,_48_monto_cred_cons_bajo,MONTO CRED CONS BAJO MONTO MUJERES,(48) MONTO_CRED_CONS_BAJO_MONTO_MUJERES
49,generonrohcdcbm,_49_nro_cred_cons_bajo_monto,NRO CRED CONS BAJO MONTO HOMBRES,(49) NRO_CRED_CONS_BAJO_MONTO_HOMBRES
50,generomontohcdcbm,_50_monto_cred_cons_bajo,MONTO CRED CONS BAJO MONTO HOMBRES,(50) MONTO_CRED_CONS_BAJO_MONTO_HOMBRES
51,totalnrocdcbm,_51_nro_cred_cons_bajo_monto,NRO TOTAL CRED CONS BAJO MONTO,(51) NRO_CRED_CONS_BAJO_MONTO
52,totalmontocdcbm,_52_monto_cred_cons_bajo,MONTO TOTAL CRED CONS BAJO MONTO,(52) MONTO_CRED_CONS_BAJO_MONTO
53,generonromcdv,_53_nro_cr_dito_vivienda,NRO CREDITO VIVIENDA MUJERES,(53) NRO_CRÉDITO_VIVIENDA_MUJERES
54,generomontomcdv,_54_monto_cr_dito_vivienda,MONTO CREDITO VIVIENDA MUJERES,(54) MONTO_CRÉDITO_VIVIENDA_MUJERES
55,generonrohcdv,_55_nro_cr_dito_vivienda,NRO CREDITO VIVIENDA HOMBRES,(55) NRO_CRÉDITO_VIVIENDA_HOMBRES
56,generomontohcdv,_56_monto_cr_dito_vivienda,MONTO CREDITO VIVIENDA HOMBRES,(56) MONTO_CRÉDITO_VIVIENDA_HOMBRES
57,totalnrocdv,_57_nro_cr_dito_vivienda,NRO TOTAL CREDITO VIVIENDA,(57) NRO_CRÉDITO_VIVIENDA
58,totalmontocdv,_58_monto_cr_dito_vivienda,MONTO TOTAL CREDITO VIVIENDA,(58) MONTO_CRÉDITO_VIVIENDA
59,nro1smmlv,_59_nro_microcr_dito_hasta,NRO MICROCREDITO HASTA 1 SMMLV,(59) NRO_MICROCRÉDITO_HASTA_ 1SMMLV
60,monto1smmlv,_60_monto_microcr_dito_hasta,MONTO MICROCREDITO HASTA 1 SMMLV,(60) MONTO_MICROCRÉDITO_HASTA_1SMMLV
61,nro1y2smmlv,_61_nro_microcr_dito_1smmlv,NRO MICROCREDITO > 1 SMMLV HASTA 2 SMMLV,(61) NRO_MICROCRÉDITO_>1SMMLV_HASTA_ 2SMMLV
62,monto1y2smmlv,_62_monto_microcr_dito_1smmlv,MONTO MICROCREDITO> 1SMMLV HASTA 2SMMLV,(62) MONTO_MICROCRÉDITO_>1SMMLV HASTA_ 2SMMLV
63,nro2y3smmlv,_63_nro_microcr_dito_2smmlv,NRO MICROCREDITO> 2 SMMLV HASTA 3 SMMLV,(63) NRO_MICROCRÉDITO_>2SMMLV_HASTA_3SMMLV
64,monto2y3smmlv,_64_monto_microcr_dito_2smmlv,MONTO MICROCREDITO> 2SMMLV HASTA 3SMMLV,(64) MONTO_MICROCRÉDITO_> 2SMMLV_HASTA_3SMMLV
65,nro3y4smmlv,_65_nro_microcr_dito_3smmlv,NRO MICROCREDITO> 3 SMMLV HASTA 4 SMMLV,(65) NRO_MICROCRÉDITO_>3SMMLV_HASTA_ 4SMMLV
66,monto3y4smmlv,_66_monto_microcr_dito_3smmlv,MONTO MICROCREDITO> 3SMMLV HASTA 4SMMLV,(66) MONTO_MICROCRÉDITO_>3SMMLV_HASTA_4SMMLV
67,nro4y10smmlv,_67_nro_microcr_dito_4smmlv,NRO MICROCREDITO> 4 SMMLV HASTA 10 SMMLV,(67) NRO_MICROCRÉDITO_>4SMMLV_HASTA_10SMMLV
68,monto4y10smmlv,_68_monto_microcr_dito_4smmlv,MONTO MICROCREDITO> 4SMMLV HASTA 10SMML,(68) MONTO_MICROCRÉDITO_> 4SMMLV_HASTA_10SMMLV
69,nro10y25smmlv,_69_nro_microcr_dito_10smmlv,NRO MICROCREDITO> 10SMMLV HASTA 25SMMLV,(69) NRO_MICROCRÉDITO_>10SMMLV_HASTA_25SMMLV
70,monto10y25smmlv,_70_monto_microcr_dito_10smmlv,MONTO MICROCREDI> 10SMMLV HASTA 25SMMLV,(70) MONTO_MICROCRÉDITO_>10SMMLV_HASTA_ 25SMMLV
71,generonrommicro,_71_nro_microcr_dito_mujeres,NRO MICROCREDITO MUJERES,(71) NRO_MICROCRÉDITO_MUJERES
72,generomontommicro,_72_monto_microcr_dito_mujeres,MONTO MICROCREDITO MUJERES,(72) MONTO_MICROCRÉDITO_MUJERES
73,generonrohmicro,_73_nro_microcr_dito_hombres,NRO MICROCREDITO HOMBRES,(73) NRO_MICROCRÉDITO_HOMBRES
74,generomontohmicro,_74_monto_microcr_dito_hombres,MONTO MICROCREDITO HOMBRES,(74) MONTO_MICROCRÉDITO_HOMBRES
75,totalnromicro,_75_nro_microcr_dito,NRO TOTAL MICROCREDITO,(75) NRO_MICROCRÉDITO
76,totalmontomicro,_76_monto_microcr_dito,MONTO TOTAL MICROCREDITO,(76) MONTO_MICROCRÉDITO
77,col77,_77_nro_productos_a_nivel,NRO PROD DEPOSITO NIVEL NACIONAL,(77) NRO_PRODUCTOS_A_NIVEL_NACIONAL
78,col78,_78_monto_saldo_productos,MONTO PROD DEPOSITO NIVEL NACIONAL,(78) MONTO_SALDO_PRODUCTOS_A_NIVEL_NACIONAL
